learning_rate,epochs,reg_l1,reg_l2,threshold,acc,prec,rec,f1,log_loss,acc_norm,prec_norm,rec_norm,f1_norm,log_loss_norm,overall
0.01,100,0.001,0.01,0.3,0.7252282815834217,0.24838270738346635,0.9621644765010045,0.3948184547656286,0.32912350724608086,0.32556743173700015,0.03766661278627434,0.9544393889061822,0.07636412761917123,0.9245479291659032,0.48071348363921035
0.01,100,0.001,0.01,0.4,0.789380598632935,0.29868700005441184,0.9352155584099068,0.45275305694489243,0.3299842702778171,0.5318819243967506,0.15449753066885566,0.8779127132925262,0.2717393481255353,0.9238732559914911,0.5727564467498099
0.01,100,0.001,0.01,0.5,0.8437583301952462,0.3623847295305703,0.8916460824029245,0.5153131851695747,0.32898277886670857,0.7067612524591724,0.3024344920414223,0.7541887424165031,0.4827134186643074,0.9246582332321098,0.6611678669681256
0.01,100,0.001,0.01,0.6,0.8916725577122773,0.4561922908353355,0.8457695221157329,0.5926718282342451,0.33045659222712637,0.8608538869267707,0.5203010578880433,0.6239133586144349,0.7435931240270336,0.9235030461461146,0.7678824400199856
0.01,100,0.001,0.01,0.7,0.9251641504912532,0.5757535928015699,0.7534334551921746,0.6524470440986018,0.330624138317684,0.9685631839616439,0.7979802759087246,0.3617072018769508,0.9451755210922237,0.923371722136359,0.8459102414508779
0.01,100,0.001,0.1,0.3,0.7248542215831935,0.24827474424148632,0.9633106083061621,0.3947820046130691,0.32979798436678837,0.32436445103855044,0.03741587010994805,0.9576940522870016,0.0762412052838842,0.9240192684273277,0.48074361560490525
0.01,100,0.001,0.1,0.4,0.7891669376832928,0.29834623084111517,0.9340710733458486,0.45221803840236713,0.3298604715759722,0.5311947886477394,0.15370609960280332,0.8746627261521969,0.2699350832857175,0.9239702904366082,0.5716385816479658
0.01,100,0.001,0.1,0.5,0.8437049256558602,0.3622973730606921,0.8916460824029245,0.5152277295561183,0.32938743150557237,0.7065895029268735,0.30223160803258403,0.7541887424165031,0.48242523321563735,0.9243410631512274,0.6609496672483258
0.01,100,0.001,0.1,0.6,0.8927408909885546,0.45909164838460903,0.8451948094720547,0.5949539100404214,0.3293245566234032,0.8642896574183738,0.5270347695807446,0.6222813506835356,0.7512890815260709,0.9243903450032352,0.7714502974584418
0.01,100,0.001,0.1,0.7,0.9258051476042131,0.5791353546577673,0.7499950597767019,0.6533562653249183,0.32916566173157163,0.9706246370819513,0.8058343639147775,0.3519432117344936,0.9482417248961438,0.9245148881319678,0.8473506467343801
0.01,100,0.01,0.0,0.3,0.7255487230837697,0.24859841640713842,0.9621628297599051,0.39509423406538835,0.3288314865813097,0.32659797480406366,0.0381675935553712,0.9544347126656926,0.07729414939329048,0.9247768173751211,0.48126689114168164
0.01,100,0.01,0.0,0.4,0.7891669234192599,0.2982052449794279,0.9329216480584923,0.4519287621892092,0.32997484346524175,0.5311947427744669,0.15337866218633603,0.8713987102903985,0.26895954532037347,0.9238806448050557,0.5708641706971601
0.01,100,0.01,0.0,0.5,0.8432775752285098,0.36169945432163947,0.8927922142080822,0.514809709009423,0.3305502062469596,0.7052151396823054,0.30084295129190275,0.7574434057973224,0.4810155254863244,0.9234296707040919,0.6603572452518097
0.01,100,0.01,0.0,0.6,0.8910849080825717,0.4548432035121044,0.8451948094720547,0.5913117243248482,0.331738761637403,0.8589639998456724,0.5171678240841638,0.6222813506835356,0.739006390171716,0.922498071171271,0.7654443246390841
0.01,100,0.01,0.0,0.7,0.9259654040144694,0.5798836698259219,0.7505714191614794,0.6540279386682452,0.3289383942649759,0.971140023298664,0.807572313964743,0.35357989590588246,0.9505068362911384,0.9246930222495767,0.8485479351041774
0.01,100,0.01,0.001,0.3,0.7253884809375463,0.24848456533621116,0.9621628297599051,0.39495187896462347,0.3287747217496306,0.32608263446062313,0.03790317625791798,0.9544347126656926,0.07681407948418702,0.924821310119084,0.4810269386725522
0.01,100,0.01,0.001,0.4,0.7898079633243184,0.2990950886488227,0.9346441392484273,0.45314065627946665,0.3291001968234346,0.5332563335145912,0.15544530992448116,0.876290057842606,0.2730464651611583,0.9245662000677236,0.5734260044147224
0.01,100,0.01,0.001,0.5,0.8429036293405453,0.36112409893104824,0.8922224417877022,0.5140995734330106,0.3299477559175389,0.7040125259700362,0.29950669756836534,0.7558254265878923,0.47862070633486664,0.9239018762486956,0.6592553065499853
0.01,100,0.01,0.001,0.6,0.8927943097919734,0.4592072065114056,0.8451948094720547,0.5950537050946493,0.32886960475651483,0.8644614528239448,0.527303151488244,0.6222813506835356,0.7516256244553704,0.9247469400345287,0.7717019221653649
0.01,100,0.01,0.001,0.7,0.9259119852110507,0.5796638856130394,0.7499967065178013,0.6536460602428564,0.3285491844883622,0.9709682278930933,0.8070618686336631,0.3519478879749833,0.949219012110762,0.9249980880874655,0.847991488707367
0.01,100,0.01,0.01,0.3,0.7251214154485183,0.2483152895151896,0.9621644765010045,0.39472856426909236,0.3292331472348088,0.32522374917931346,0.03751003586183608,0.9544393889061822,0.07606098623351276,0.924461992437082,0.48052960054887195
0.01,100,0.01,0.01,0.4,0.7899682339986078,0.29892447909296693,0.9323485821559135,0.4526873484668261,0.3287097588094444,0.5337717656045771,0.15504907195050635,0.8697713785999891,0.27151775674649004,0.9248722286082135,0.5722489273745307
0.01,100,0.01,0.01,0.5,0.8433843985713144,0.3617925249656063,0.8916460824029245,0.5147205758091936,0.32988417405983095,0.7055586846201749,0.3010591063789784,0.7541887424165031,0.480714937961871,0.9239517122339708,0.6600618194578525
0.01,100,0.01,0.01,0.6,0.89231356908927,0.4578824374910244,0.8451948094720547,0.5939471480766162,0.3294127504803785,0.8629153859203503,0.5242263965551021,0.6222813506835356,0.7478939371170831,0.9243212179296326,0.7699160753620382
0.01,100,0.01,0.01,0.7,0.92607225588534,0.5803329392949399,0.7517175509666371,0.6547148494345817,0.32897757984322556,0.971483659983079,0.8086157351452244,0.35683455928670177,0.9528233334688688,0.9246623082696612,0.8497685528452482
0.01,100,0.01,0.1,0.3,0.7251747771958053,0.24834225774845495,0.9621644765010045,0.39476748478266876,0.3294897917548932,0.3253953610917944,0.03757266915372373,0.9544393889061822,0.07619223946795599,0.9242608323422862,0.4805483870110394
0.01,100,0.01,0.1,0.4,0.7887930060593612,0.2980125996411681,0.9346424925073279,0.45190548162572525,0.3301750665808712,0.5299922208087423,0.15293124645897618,0.8762853816021164,0.26888103532715535,0.9237237082731279,0.5712091089930368
0.01,100,0.01,0.1,0.5,0.8431707376216722,0.3616191706385747,0.8933652801106611,0.5148330779523829,0.3303819537366156,0.7048715488711634,0.3006564937176991,0.7590707374877322,0.4810943335252517,0.9235615484115112,0.6605467039170908
0.01,100,0.01,0.1,0.6,0.8918861758698208,0.4570143815822698,0.8463409412772123,0.5934731742717141,0.33048919213353,0.861540885055965,0.522210350543749,0.6255360140643547,0.7462955359343071,0.9234774940701912,0.769178679815409
0.01,100,0.01,0.1,0.7,0.925858566407632,0.578854881798149,0.7557290122846887,0.6552499920430445,0.3307704069705283,0.9707964324875227,0.805182970169025,0.36822588111956883,0.9546280167013047,0.9232570755580408,0.8506347764401769
0.01,100,0.1,0.0,0.3,0.7257623697693791,0.24867350677019898,0.9615897638573262,0.3951397797269095,0.3283683224123396,0.32728506467980306,0.038341989726646014,0.9528073809752827,0.07744774488420744,0.9251398492766219,0.48132382630911164
0.01,100,0.1,0.0,0.4,0.7897545445208995,0.2990081202918127,0.9346424925073279,0.45305158876789686,0.32913644731557273,0.5330845381090202,0.15524332730159274,0.8762853816021164,0.27274609916124937,0.9245377866325469,0.5732828025454776
0.01,100,0.1,0.0,0.5,0.8440788430157589,0.3627450135156142,0.8904999505977671,0.5154875004962353,0.32877680327825837,0.7077920248925981,0.30327124585379395,0.7509340790356844,0.48330126934598755,0.9248196785997517,0.6612143330957616
0.01,100,0.1,0.0,0.6,0.8926875007132017,0.4589118793106642,0.8451948094720547,0.5948045392640978,0.32921235686056904,0.8641179537593477,0.5266172587720098,0.6222813506835356,0.7507853523683021,0.9244782881041451,0.7712554533705815
0.01,100,0.1,0.0,0.7,0.926072270149373,0.5803743081687547,0.7499983532589007,0.654142056409546,0.32848046059172287,0.9714837058563515,0.8087118136952433,0.35195256421547333,0.9508916802018873,0.9250519544453294,0.8487743522832564
0.01,100,0.1,0.001,0.3,0.7252281817351911,0.24847094749408818,0.9627375424035833,0.39497452258552684,0.32883204893504014,0.32556711062409294,0.03787154903665449,0.956066720596592,0.0768904414899771,0.9247763765976218,0.48116545000099165
0.01,100,0.1,0.001,0.4,0.7887930060593612,0.2981227498561071,0.9352172051510061,0.45209459748459757,0.3301949844304044,0.5299922208087423,0.15318706857738792,0.8779173895330159,0.2695187984469245,0.9237080964981368,0.5716284120510604
0.01,100,0.1,0.001,0.5,0.8438117489986648,0.3625170891113391,0.8922191483055034,0.515545509718432,0.32914357698175384,0.706933047864743,0.30274189505795857,0.755816074106913,0.4834968962106207,0.9245321983413011,0.6616304724948527
0.01,100,0.1,0.001,0.6,0.8921532841509476,0.4576264408729663,0.8474887198234693,0.5942953497584338,0.33064807955995645,0.8623999079570923,0.523631848490224,0.6287953536856636,0.7490681918423558,0.9233529567929047,0.7706445910448684
0.01,100,0.1,0.001,0.7,0.9258051476042131,0.5791735489333665,0.7494219938741231,0.6531613661370861,0.32896128533891955,0.9706246370819513,0.8059230695110433,0.3503158800440841,0.9475844584203785,0.9246750800367332,0.8470360866192053
0.01,100,0.1,0.01,0.3,0.7249077687629089,0.24816555920884506,0.9621628297599051,0.39454274517351595,0.32921484561734327,0.32453665930357406,0.03716228961203785,0.9544347126656926,0.07543434092299177,0.9244763373960279,0.4802004759645021
0.01,100,0.1,0.01,0.4,0.7899682197345749,0.2991485181832075,0.9340677798636499,0.4531487644623516,0.3288473933842894,0.5337717197313046,0.155569399166428,0.8746533736712175,0.27307380871681347,0.924764349491551,0.5733673659363107
0.01,100,0.1,0.01,0.5,0.8433843843072815,0.36183029537868494,0.8922191483055034,0.5148528088522842,0.3295987295883154,0.7055586387469024,0.3011468275612967,0.755816074106913,0.481160872843276,0.9241754459685937,0.6604730493578522
0.01,100,0.1,0.01,0.6,0.8912451644928281,0.4552016136755125,0.8469156539208905,0.5921140471526416,0.3315651001873877,0.8594793860623854,0.5180002259756549,0.6271680219952541,0.7417120961488172,0.922634188450284,0.7670247758182364
0.01,100,0.1,0.01,0.7,0.9259119852110507,0.57913288622227,0.754582880479531,0.6550505344133649,0.3297169752205432,0.9709682278930933,0.8058286310126815,0.3649712177387495,0.9539553776062828,0.9240827640653122,0.8503984762608584
0.01,100,0.1,0.1,0.3,0.72351887987402,0.24727086740912566,0.9627358956624839,0.393470212457801,0.33113881994938865,0.3200699787587277,0.0350843821684926,0.956062044356102,0.071817395126338,0.9229683104220185,0.478005101678072
0.01,100,0.1,0.1,0.4,0.7897011257174809,0.29894453948147126,0.9346441392484275,0.45297919511314133,0.3290710551430709,0.5329127427034496,0.15509566188304694,0.8762900578426067,0.27250196308834845,0.924589041557511,0.573184623431888
0.01,100,0.1,0.1,0.5,0.8441323046112765,0.36291721617643957,0.8910730165003458,0.5157613738150012,0.32887697938247423,0.7079639579179866,0.30367118378866664,0.7525614107260936,0.4842248635027082,0.9247411597417853,0.6617363257810684
