learning_rate,epochs,reg_l1,reg_l2,threshold,acc,prec,rec,f1,log_loss
0.01,200,0.0,0.0,0.3,0.7514017978387137,0.2673204758979665,0.9581513684418536,0.4179864648064182,0.31348235263768354
0.01,200,0.0,0.0,0.4,0.8050314521926671,0.3150081162893879,0.930054671804499,0.4705995192364124,0.3136904104311252
0.01,200,0.0,0.0,0.5,0.8520378738603037,0.37530620673397586,0.8853374172512597,0.5271397237140965,0.31281708556831117
0.01,200,0.0,0.0,0.6,0.8943967597822737,0.46361557376413803,0.8457711688568323,0.5988893408920096,0.31256243025744435
0.01,200,0.0,0.0,0.7,0.9237218855910445,0.5669311300065492,0.7746550077396831,0.6544866272948375,0.31246097298563863
0.01,200,0.0,0.001,0.3,0.7519893761482547,0.2677795091316731,0.9581513684418536,0.41855182095479765,0.3124668029612624
0.01,200,0.0,0.001,0.4,0.8056724778336928,0.315601590243323,0.9289085399993413,0.4711159187976131,0.31221517929898085
0.01,200,0.0,0.001,0.5,0.8512900248764735,0.3742655635114422,0.8876313276026744,0.5265122112730729,0.3141137601980322
0.01,200,0.0,0.001,0.6,0.8939694236189564,0.46248932322771924,0.846344234759411,0.5980927632517579,0.31366339351864125
0.01,200,0.0,0.001,0.7,0.9238287231978821,0.5674140641058865,0.7746566544807825,0.6547928936008817,0.31257690917880404
0.01,200,0.0,0.01,0.3,0.7516688633277419,0.2675288825567519,0.9581513684418536,0.41824316101279724,0.31346591782259603
0.01,200,0.0,0.01,0.4,0.8052451701984413,0.3150929417369579,0.9289085399993413,0.47055140561458797,0.31296467955398344
0.01,200,0.0,0.01,0.5,0.8515037000901486,0.37460100214594483,0.8870582617000956,0.5267354067687288,0.3134744176191691
0.01,200,0.0,0.01,0.6,0.8941296800292127,0.46289355249756514,0.8457711688568323,0.5982853128748957,0.31298979983961556
0.01,200,0.0,0.01,0.7,0.9237752616023645,0.5671071459930224,0.7752297203833614,0.6548256028164183,0.31266449488849757
0.01,200,0.0,0.1,0.3,0.7521496468225439,0.2679102924604696,0.9581513684418536,0.4187082552174772,0.31244995373495826
0.01,200,0.0,0.1,0.4,0.8036960106352631,0.3134562252011624,0.9294832526430195,0.46876855847720683,0.3152879583265613
0.01,200,0.0,0.1,0.5,0.8520913069277555,0.3754360453063512,0.8853374172512598,0.5272606784624058,0.31295058374093754
0.01,200,0.0,0.1,0.6,0.8941297085572787,0.46298624016583984,0.8469173006619899,0.5986378516463757,0.31331837492628556
0.01,200,0.0,0.1,0.7,0.923828723197882,0.5672111830320916,0.7763791456707176,0.655304654439456,0.312723670399791
0.01,200,0.001,0.0,0.3,0.7512415129003914,0.26718886373993894,0.9581513684418536,0.41782632471093306,0.31410156124953176
0.01,200,0.001,0.0,0.4,0.8048711957824107,0.3146923221496632,0.9289101867404407,0.4700917602947586,0.313320094737813
0.01,200,0.001,0.0,0.5,0.8523049964054638,0.37580785795431154,0.8859104831538385,0.527728002757222,0.3126312479798152
0.01,200,0.001,0.0,0.6,0.894076261225794,0.4627455954839257,0.8451981029542536,0.5980199449884432,0.312958071554608
0.01,200,0.001,0.0,0.7,0.9237753186584963,0.5665041683959448,0.7798257747916872,0.6561138262521841,0.3137918525071267
0.01,200,0.001,0.001,0.3,0.7518291197379983,0.26765694359502484,0.9581513684418536,0.41840187220699115,0.31312791811682583
